total_area_px,coverage_ratio,height_proxy,width_proxy,aspect_ratio,compactness,canopy_h_cm,canopy_w_cm,hull_ratio,perimeter_px,perimeter_ratio,leaf_count,leaf_count_raw,leaf_count_method,shoot_count,root_count,stem_count,mean_leaf_area_px,leaf_area_cv,max_leaf_area_px,green_pct,greenness,dark_green_ratio,yellow_ratio,brown_ratio,healthy_color,mean_hue,mean_sat,mean_val,glare_score,condensation_score,brightness_mean,brightness_std,mean_score,min_score,score_std,image,species,verdict,readiness_index,confidence,quality_warning,note
241261,0.049411,0.611838,0.558114,0.693101,0.144699,,,0.288875,6754.62,0.744557,8,8,prompt,1,0,0,20634.0,0.5937,37083.0,72.55,0.3851,67.12,2.07,0.0,70.49,40.32,75.9,81.13,0.25,0.99,120.91,39.58,0.7022,0.5066,0.1186,044.jpg,พริกจินดา,ยังไม่พร้อม,0.4259,0.798,,
33498,0.012347,0.315287,0.276852,0.662207,0.141456,,,0.23538,2152.65,0.315084,1,0,fallback,1,0,0,41662.0,0.0,41662.0,45.52,0.3623,4.21,7.72,0.0,37.8,37.7,49.47,136.08,0.19,0.6,157.15,25.31,0.5071,0.5071,0.0,045.jpg,พริกจินดา,ยังไม่พร้อม,0.2373,0.7985,,leaf prompt ไม่เจอ → นับใบจาก plant+shoot
74673,0.011364,0.17066,0.296162,0.496333,0.224846,,,0.334693,3138.48,0.30524,2,4,prompt,1,0,1,24678.5,0.1339,27984.0,47.7,0.3616,18.11,3.56,0.0,44.15,40.4,44.34,113.2,0.32,1.76,153.55,31.85,0.8392,0.7737,0.0572,046.jpg,พริกจินดา,ยังไม่พร้อม,0.2,0.7974,,
362906,0.044873,0.494266,0.807152,0.553209,0.112479,,,0.211469,10849.65,0.95256,4,6,prompt,1,0,5,61954.5,0.0469,66723.0,50.76,0.3818,50.62,2.59,0.16,48.01,39.45,74.47,50.35,0.0,0.27,79.13,33.23,0.6761,0.5246,0.1345,047.jpg,พริกจินดา,ยังไม่พร้อม,0.323,0.8,,
285090,0.032408,0.704068,0.647217,1.076166,0.071119,,,1.167868,3582.57,0.30197,3,5,prompt,0,0,4,67051.33,0.6131,99978.0,83.91,0.3824,29.19,3.6,0.0,80.32,40.09,73.52,103.03,1.87,2.41,125.61,35.52,0.6435,0.5255,0.0969,048.jpg,พริกจินดา,ยังไม่พร้อม,0.4792,0.785,,
295604,0.035978,0.39797,0.502686,0.733467,0.17984,,,0.262566,6890.0,0.600488,2,4,prompt,1,0,2,112932.5,0.1604,131049.0,81.78,0.387,45.7,0.97,0.0,80.81,41.74,75.71,95.92,1.46,1.96,126.55,37.32,0.81,0.5584,0.1246,049.jpg,พริกจินดา,ยังไม่พร้อม,0.3827,0.7883,,
164386,0.018363,0.298463,0.444519,0.671429,0.138408,,,0.24383,4860.16,0.406096,2,2,prompt,1,0,1,89954.0,0.6845,151524.0,54.57,0.368,15.65,1.79,0.01,52.77,40.98,53.47,104.97,1.77,2.17,127.79,32.52,0.5888,0.5548,0.0469,050.jpg,พริกจินดา,ยังไม่พร้อม,0.2624,0.7858,,
112339,0.014672,0.33646,0.388703,0.740327,0.112188,,,0.215806,4459.5,0.401685,2,4,prompt,1,0,1,63182.5,0.9406,122614.0,63.64,0.3699,19.98,0.08,0.0,63.55,43.44,57.18,102.04,0.84,1.14,125.07,29.87,0.5722,0.5163,0.047,051.jpg,พริกจินดา,ยังไม่พร้อม,0.2992,0.7933,,
331785,0.039449,0.668115,0.648879,1.095943,0.090995,,,0.318553,7277.83,0.627075,5,8,prompt,2,0,2,51812.2,0.7113,97400.0,81.4,0.3892,8.66,0.6,0.0,80.81,39.62,82.43,111.6,1.82,2.14,124.35,37.78,0.6754,0.5011,0.111,052.jpg,พริกจินดา,ยังไม่พร้อม,0.4644,0.7854,,
173622,0.048673,0.681443,0.241045,1.404025,0.296323,,,1.225703,1682.59,0.209747,3,3,prompt,0,0,0,61439.67,0.8739,137292.0,87.71,0.3851,70.78,0.04,0.0,87.67,42.92,70.16,82.42,0.04,0.14,122.04,27.35,0.7308,0.5706,0.1326,053.jpg,พริกจินดา,ยังไม่พร้อม,0.4919,0.7997,,
